file,visual_kmeans_lables,id
602avenue-20250325210954-1260216609536513,3,602avenue
602avenue-20250908045808-2110197666502883,6,602avenue
602avenue-20250804231758-2511421519328039,3,602avenue
602avenue-20250712143848-2811167015888769,3,602avenue
602avenue-20250712143054-842897732098426,3,602avenue
602avenue-20260121145224-1972752933641910,7,602avenue
602avenue-20250803205058-938063301943846,3,602avenue
602avenue-20250806212604-912409261508309,3,602avenue
602avenue-20250802082520-2309855456177572,3,602avenue
602avenue-20250903003341-1427376322379532,7,602avenue
602avenue-20260125044333-927105863148675,3,602avenue
602avenue-20250807002852-2106322826609785,7,602avenue
602avenue-20251201055625-1481096953416968,3,602avenue
602avenue-20250916071059-2465000727347961,7,602avenue
602avenue-20250715190845-1099350148989767,3,602avenue
602avenue-20250506211927-1803108593693910,3,602avenue
602avenue-20250914055654-782426894423252,3,602avenue
602avenue-20250516210902-959506466750463,3,602avenue
602avenue-20250720235627-1716019942709266,7,602avenue
602avenue-20250601184040-1230149232646180,7,602avenue
602avenue-20251106071203-962486793189013,3,602avenue
602avenue-20260109132629-924738616677753,7,602avenue
602avenue-20250918114407-4401971093414194,3,602avenue
602avenue-20250726151226-1252762293046350,7,602avenue
602avenue-20250627191217-1602320041017233,7,602avenue
602avenue-20250906163551-938002218679752,7,602avenue
602avenue-20251030210801-26331639713192029,3,602avenue
602avenue-20250731174016-1325453419501890,7,602avenue
602avenue-20250703111453-1082559920699689,7,602avenue
602avenue-20251206010102-766051776558537,6,602avenue
602avenue-20250805214727-1450856373316085,5,602avenue
602avenue-20250801224831-2139284233580966,5,602avenue
602avenue-20250729124534-904960372274534,3,602avenue
602avenue-20260112190131-1394718919119484,3,602avenue
602avenue-20250801095450-1645112699837451,5,602avenue
602avenue-20250726021906-860122550404820,5,602avenue
602avenue-20250828112640-788147827666935,7,602avenue
602avenue-20250806225241-1272624531434555,2,602avenue
602avenue-20250710154155-1377385277526312,7,602avenue
602avenue-20250715172654-1450613046696169,2,602avenue
602avenue-20250911063740-2136828867064032,7,602avenue
602avenue-20250804133012-2923573717846842,3,602avenue
602avenue-20250916140317-2146969699474406,3,602avenue
602avenue-20250731000049-26480570988201193,6,602avenue
602avenue-20250806185742-26562818783310919,3,602avenue
602avenue-20250731222326-1230623558669723,7,602avenue
602avenue-20260117081748-893200399996588,3,602avenue
602avenue-20250730235835-748600094995724,2,602avenue
602avenue-20250804164332-1251916850343276,3,602avenue
602avenue-20260103072930-1795776241092994,2,602avenue
602avenue-20250807001026-1176935484304428,2,602avenue
602avenue-20250805081815-1738791200417408,2,602avenue
602avenue-20250806230806-1119024990324988,2,602avenue
602avenue-20250806184752-806158188446842,7,602avenue
602avenue-20250809030407-1226719889639629,3,602avenue
602avenue-20250806114102-917477503971301,7,602avenue
602avenue-20250807200249-894250386943085,2,602avenue
602avenue-20250806214054-904951825446691,7,602avenue
602avenue-20251019173720-2515206358904070,3,602avenue
602avenue-20250806234225-3042543655946321,7,602avenue
602avenue-20250805210954-927950859686186,2,602avenue
602avenue-20250807040308-1498071125018404,3,602avenue
602avenue-20250807000837-889330870603128,2,602avenue
602avenue-20250807201152-1637007510647234,3,602avenue
602avenue-20250808084326-1976796079894900,3,602avenue
602avenue-20250808102440-4316506568637027,7,602avenue
602avenue-20251026202523-910312698580439,2,602avenue
602avenue-20250813232242-1581780132916121,7,602avenue
602avenue-20250831174456-1633955184407778,3,602avenue
602avenue-20250817191912-1935634657049911,2,602avenue
602avenue-20250818111146-2382062982307952,7,602avenue
602avenue-20250824105026-731545473222900,3,602avenue
602avenue-20250826015122-930044359970710,3,602avenue
602avenue-20251004230118-4550349285197115,3,602avenue
602avenue-20251213135121-1682959279745126,3,602avenue
602avenue-20250826230057-917231461039040,3,602avenue
602avenue-20251004225909-1713898022917032,7,602avenue
602avenue-20251004225642-784727458020409,3,602avenue
602avenue-20250831231117-1413345207245543,3,602avenue
602avenue-20251004225444-1771791213427715,2,602avenue
602avenue-20250901215730-933534402456325,3,602avenue
602avenue-20251004225403-1509824430504308,2,602avenue
602avenue-20260108114729-2811814012484271,3,602avenue
602avenue-20251004225339-954428153921206,2,602avenue
602avenue-20251004225132-1414208536851963,7,602avenue
602avenue-20251004225112-2279567686163662,3,602avenue
602avenue-20251004225052-1271100831843680,2,602avenue
602avenue-20251004225030-1901978247355022,2,602avenue
602avenue-20251004224953-947749921243917,7,602avenue
602avenue-20251004224913-3914362718862878,3,602avenue
602avenue-20251004224806-935976715533237,3,602avenue
602avenue-20251004224119-2098058947647950,7,602avenue
602avenue-20250927181140-1220871220227256,2,602avenue
602avenue-20251004224006-1972741913277807,7,602avenue
602avenue-20251004223902-1452990086411173,2,602avenue
602avenue-20251004223828-2149119769236212,2,602avenue
602avenue-20251004223629-1234127138906985,3,602avenue
602avenue-20251004223534-2768283930190910,2,602avenue
602avenue-20251005103223-1194918055760651,2,602avenue
602avenue-20251004223256-4427421820918284,2,602avenue
602avenue-20251004223240-1957646064831386,7,602avenue
602avenue-20250927160712-1321140149839585,7,602avenue
602avenue-20251004223218-860949573612842,2,602avenue
602avenue-20251004223145-1473804247673498,3,602avenue
602avenue-20250930201302-25844281975222990,2,602avenue
602avenue-20251004223125-3921672571467644,3,602avenue
602avenue-20251004223107-1470419731377193,3,602avenue
602avenue-20251004222425-903219402634583,2,602avenue
602avenue-20260218150728-2891765657830569,2,602avenue
602avenue-20251009134537-1613408876362831,6,602avenue
602avenue-20251007011513-1507091624312001,6,602avenue
