file,visual_kmeans_lables,id
1105ya-20250914014302-1443095464136788,2,1105ya
1105ya-20250916092731-2583810912006172,1,1105ya
1105ya-20250916191403-835705579492700,1,1105ya
1105ya-20250919030108-1980894066110725,1,1105ya
1105ya-20250920080236-26034497262854199,1,1105ya
1105ya-20250920110415-1179882340883880,1,1105ya
1105ya-20250921004453-2038110270313558,1,1105ya
1105ya-20250928041621-886087261008165,1,1105ya
1105ya-20250928064247-1387422045877281,1,1105ya
1105ya-20250930035612-1462615345650273,1,1105ya
1105ya-20250930074351-1406900377176047,1,1105ya
1105ya-20251001171746-762010323199994,1,1105ya
1105ya-20251001214106-1408840687604944,2,1105ya
1105ya-20251001230326-1631583707835760,1,1105ya
1105ya-20251001230713-1646856689814350,2,1105ya
1105ya-20251003214727-1345314554292480,2,1105ya
1105ya-20251004130703-892515223675555,2,1105ya
1105ya-20251012232655-1513390196427490,1,1105ya
1105ya-20251015130223-2455957628152540,1,1105ya
1105ya-20251018025404-1122073739930786,2,1105ya
1105ya-20251019215607-865439526358622,1,1105ya
1105ya-20251020235725-1648246206533094,2,1105ya
1105ya-20251021010119-2256077158249615,1,1105ya
1105ya-20251022121202-896375773094901,1,1105ya
1105ya-20251023190632-2656717484687271,1,1105ya
1105ya-20251024041333-1452166846243778,3,1105ya
1105ya-20251024111645-872923275369990,1,1105ya
1105ya-20251024140938-1416217906626717,2,1105ya
1105ya-20251024234443-898432742912488,2,1105ya
1105ya-20251103004332-2829195473950792,2,1105ya
1105ya-20251105070039-1187540513366525,2,1105ya
1105ya-20251106125011-1596969351332173,2,1105ya
1105ya-20251113000429-2094838967997137,1,1105ya
1105ya-20251116015627-2436950610092869,1,1105ya
1105ya-20251120083956-1134933421918982,1,1105ya
1105ya-20251120182503-1529386141498084,1,1105ya
1105ya-20251120182509-916833134205733,1,1105ya
1105ya-20251120220424-1257553352904716,1,1105ya
1105ya-20251121155633-744039228448548,1,1105ya
1105ya-20251125132205-1246768887377193,1,1105ya
1105ya-20251129000616-1605282657446488,1,1105ya
1105ya-20251129054115-871201869079644,2,1105ya
1105ya-20251201103017-2332771807190680,2,1105ya
1105ya-20251203002108-1634108481271748,2,1105ya
1105ya-20251210161231-1344347700712929,1,1105ya
